ID,MP,Constituency
1,Abul Hasanat Abdullah,Barisal-1
2,Imran Ahmad,Sylhet-4
3,Moslem Uddin Ahmad,Chittagong-8
4,Selima Ahmad,Comilla-2
5,Sultan Md. Mansur Ahmad,Maulvibazar-2
6,Benzir Ahmed,Dhaka-20
7,Kazi Nabil Ahmed,Jessore-3
8,Ponir Uddin Ahmed,Kurigram-2
9,Nuruzzaman Ahmed,Lalmonirhat-2
10,Sharif Ahmed,Mymensingh-2
11,Nazim Uddin Ahmed,Mymensingh-3
12,Kazim Uddin Ahmed,Mymensingh-11
13,Nesar Ahmed,Maulvibazar-3
14,Tofail Ahmed,Bhola-1
15,Shahin Akhtar,Cox's Bazar-4
16,Shirin Akhter,Feni-1
17,Md. Mahbub Ali,Habiganj-4
18,Abul Hasanat Abdullah,Barisal-1
19,Imran Ahmad,Sylhet-4
20,Moslem Uddin Ahmad,Chittagong-8
21,Selima Ahmad,Comilla-2
22,Sultan Md. Mansur Ahmad,Maulvibazar-2
23,Benzir Ahmed,Dhaka-20
24,Kazi Nabil Ahmed,Jessore-3
25,Ponir Uddin Ahmed,Kurigram-2
26,Nuruzzaman Ahmed,Lalmonirhat-2
27,Sharif Ahmed,Mymensingh-2
28,Nazim Uddin Ahmed,Mymensingh-3
29,Kazim Uddin Ahmed,Mymensingh-11
30,Nesar Ahmed,Maulvibazar-3
31,Tofail Ahmed,Bhola-1
32,Shahin Akhtar,Cox's Bazar-4
33,Shirin Akhter,Feni-1
34,Md. Mahbub Ali,Habiganj-4
35,Didarul Alam,Chittagong-4
36,Morshed Alam,Noakhali-2
37,Md. Israfil Alam,Naogaon-6
38,Md. Shahriar Alam,Rajshahi-6
39,Jafar Alam,Cox's Bazar-1
40,Abul Hassan Mahmood Ali,Dinajpur-4
41,Kazi Keramat Ali,Rajbari-1
42,Mahiuddin Khan Alamgir,Chandpur-1
43,Md. Afsarul Amin,Chittagong-10
44,Amir Hossain Amu,Jhalokati-2
45,Md. Anwarul Azim Anar,Jhenaidah-4
46,Iqbal Hossain Apu,Shariatpur-1
47,Jewel Areng,Mymensingh-1
48,Md. Ali Ashraf,Comilla-7
49,Md. Atiur Rahman Atik,Sherpur-1
50,Abul Kalam Azad,Jamalpur-1
51,Ali Azam,Bhola-2
52,Mirza Azam,Jamalpur-3
53,Md. Ali Azgar,Chuadanga-2
54,Abdul Aziz,Sirajganj-3
55,Rezaul Karim Bablu,Bogra-7
56,Akhteruzzaman Babu,Khulna-6
57,Fazle Hossain Badsha,Rajshahi-2
58,Fahmi Gulandaz Babel,Mymensingh-10
59,Md. Nazrul Islam Babu,Narayanganj-2
60,A.K.M. Bahauddin,Comilla-6
61,Shahidul Islam Bakul,Natore-1
62,Momotaz Begom,Manikganj-2
63,Waresat Hussain Belal,Netrokona-5
64,Shawpan Bhattacharjee,Jessore-5
65,Mohammad Shubid Ali Bhuiyan,Comilla-1
